動画ID,回,回タイトル,動画タイトル,状態,想定尺,主な内容,使用素材,ワーク,備考
0-①,第0回,ようこそ・オリエンテーション,AIを味方にするために,スクリプト完成・未撮影,5〜8分,傾聴AIとは何か／自動思考を言語化する練習相手として使う／Geminiの紹介／プライバシー注意,第0回スクリプト,なし,Gemini傾聴AI設定完了後に内容確認してから撮影
0-②,第0回,ようこそ・オリエンテーション,この講座の使い方,スクリプト完成・未撮影,6〜8分,メルマガ→WordPress→動画の流れ／動画週と中間週のリズム／ペースについて／サポート窓口,第0回スクリプト,なし,
0-③,第0回,ようこそ・オリエンテーション,自己紹介・受講の心構え,スクリプト完成・未撮影,6〜8分,桃木亜子の自己紹介（保健師24年）／講座の理念／本講座の位置づけと注意／受講の心構え3つ,第0回スクリプト,なし,Gemini傾聴AIカスタム設定完了後に撮影
1-①,第1回,私が私の味方になる,講座のゴールと全体地図（CBT・スキーマ療法・解決志向の3本柱）,素材あり・再録画必要,8〜10分,3つの心理療法の概要／この講座で何を学ぶか／半年間のロードマップ,ストアカ2025-09-19動画,なし,
1-②,第1回,私が私の味方になる,チャイルドとヘルシーさん（自分の中の2人）,素材あり・再録画必要,8〜10分,スキーマ療法のチャイルドモード／ヘルシーアダルト／自分の中の2人に気づく,ストアカ2025-09-19動画,なし,
1-③,第1回,私が私の味方になる,ワーク解説「自分を味方にする最初の一歩」,未着手,5〜7分,ワークの目的説明／記入例を実演／チャイルドモードが出たときの対処／傾聴AIとの連携,コース1スライド,自分の中の2人を書き出すシート,
2-①,第2回,疲れない脳とからだをつくる,脳の可塑性・疲れない5つの習慣,素材あり・再録画必要,8〜10分,脳の可塑性の基本／睡眠・軽い運動・栄養・休息・つながりの5習慣,OKサロン2026-01-17動画,なし,
2-②,第2回,疲れない脳とからだをつくる,自律神経の仕組みとストレスチェック,素材あり・再録画必要,8〜10分,交感神経・副交感神経の基本／ストレスが身体に出るサイン／チェックリスト紹介,OKサロン2026-01-17動画,なし,
2-③,第2回,疲れない脳とからだをつくる,呼吸・リラックスワーク動画,未着手,5〜8分,腹式呼吸の実演／一緒にやる構成／更年期・自律神経への効果を一言添える,渋沢のり子先生への依頼 or モモさん案内役,呼吸記録（朝or夜・1週間チャレンジシート）,渋沢のり子先生への依頼を検討
3-①,第3回,自分らしさと中核的感情欲求,自分らしさって何だろう,未着手,8〜10分,思春期子育て期に「自分らしさ」を失いやすい理由／保健師現場のエピソード／「私が好きだったものは何か」という問い,コース1〜2スライド,私が好きなこと・大切にしたいこと書き出しシート,
3-②,第3回,自分らしさと中核的感情欲求,中核的感情欲求とは（5つの概要）,未着手,8〜10分,スキーマ療法の中核的感情欲求とは／5つの欲求を一覧紹介／欲求が満たされないと起きること／「弱さではなく人間として当然のニーズ」,コース2〜3スライド,私はどの欲求が満たされにくい？チェックリスト,
3-③,第3回,自分らしさと中核的感情欲求,欲求①「安心して感情を表現したい」,未着手,8〜10分,欲求①の説明／感情を表現することへの罪悪感を解く／感情日記の紹介,コース2〜3スライド,感情日記（今日の気持ちを一言書くシート）,
4-①,第4回,こころのクセに気づく,ストレスのしくみと自動思考をつかまえる,未着手,8〜10分,出来事→認知→感情・行動・身体症状の連鎖／自動思考とは／思春期子育てあるあるの例／身体サインの話（続く場合は受診を）,コース2スライド,自動思考記録表（出来事・気持ち・頭によぎった言葉の3列）,
4-②,第4回,こころのクセに気づく,心の応急処置（呼吸・五感）＋ネガティブな気持ちを抱えて生きる,未着手,8〜10分,グラウンディング・五感の使い方／ネガティブは「なくすもの」ではない／カフェイン・アルコール・水分の見直し,コース2スライド,自分の応急処置メニューリスト（5つ書き出す）,
4-③,第4回,こころのクセに気づく,欲求②「ありのままを愛してほしい」,未着手,8〜10分,欲求②の説明／「いい子でないと愛されない」思い込みの影響／思春期の子どもとのリンク／自己受容の入り口,コース2〜3スライド,自動思考記録表（継続）,
5-①,第5回,こころのメガネをかけかえる,生きづらさの根っこ・捉え方の構造,未着手,8〜10分,スキーマとは何か／代表的な生きづらいスキーマ（見捨てられ不安・厳しい基準・自己犠牲など）／「書き換えられる」というメッセージ,コース2〜3スライド,思考チェンジシート①（スキーマに気づく）,
5-②,第5回,こころのメガネをかけかえる,こころのメガネをかけかえる＋心の境界線,未着手,8〜10分,認知再構成の基本と実例／心の境界線（子どもの課題と自分の課題を分ける）／睡眠・休息を取る権利,コース2〜3スライド,思考チェンジシート②（かけかえ練習）,
5-③,第5回,こころのメガネをかけかえる,欲求③「自律性のある人間になりたい」,未着手,8〜10分,欲求③の説明／「お母さんだから我慢して当然」という自律性の剥奪パターン／「私の人生を私が選ぶ」小さな練習,コース2〜3スライド,思考チェンジシート（継続）,
6-①,第6回,幸せは自分でつくる（ハッピースキーマ）,ぐるぐる思考を手放す,未着手,8〜10分,反芻思考とは／3つのパターン（自責・心配・後悔）／止め方の実践／「乗っ取られなければOK」という基準,コース4スライド,強みノート①（今週うまくいったこと3つ）,
6-②,第6回,幸せは自分でつくる（ハッピースキーマ）,ハッピースキーマ・14のポジティブスキーマ・強みを活かす,未着手,8〜10分,ハッピースキーマとは／14のスキーマ一覧／自分に当てはまるものを探す／OKボタンを押す練習,コース4スライド,強みノート②（自分のハッピースキーマを探す）,
6-③,第6回,幸せは自分でつくる（ハッピースキーマ）,欲求④「有能な自分になりたい」,未着手,8〜10分,欲求④の説明／完璧主義との関係／「小さくできた」を数える練習（70点でいい）／子どもへのモデル,コース4スライド,強みノート（継続）,
7-①,第7回,「対話」は万能薬,対話の力・孤独について,未着手,8〜10分,現代の子育ての孤独／しゃべるだけで楽になる理由（オキシトシン）／弱みを見せることが強さ／対話の相手は人だけじゃない,コース3スライド,「伝える練習」シート①（誰に・何を伝えたいか書く）,
7-②,第7回,「対話」は万能薬,専門家につながる勇気（心の病気・受診のヒント）,未着手,8〜10分,受診への抵抗感を解く／どんなとき受診を考えるかのチェックリスト／婦人科・内科・精神科の使い分け／家族への伝え方,コース3スライド・保健師現場知識,「伝える練習」シート②（具体的に一言書く）,
7-③,第7回,「対話」は万能薬,欲求⑤「自由にのびのび遊びたい」,未着手,8〜10分,欲求⑤の説明／お母さんが「遊ぶ」ことへの罪悪感／遊びがメンタルヘルスに与える効果／週1回15分の小さな遊びの設計,コース3スライド,「伝える練習」シート（継続）,
8-①,第8回,「困った時」の解決志向スキル,解決志向ブリーフセラピーとは,未着手,8〜10分,原因探しではなく「どうなりたいか」に焦点／例外を探す技法／奇跡の質問／自分の中のリソースを見つける,コース3スライド,作戦会議シート①（どうなりたいか・例外を探す）,
8-②,第8回,「困った時」の解決志向スキル,思春期対応 作戦会議（実践編）,未着手,8〜10分,作戦会議の型を子育て場面に当てはめる／ロールプレイ例（反抗・スマホ・勉強しない）／「命令・説得」から「問いかけ・観察」へ,コース3スライド,作戦会議シート②（具体的な場面を書いて作戦を立てる）,
8-③,第8回,「困った時」の解決志向スキル,小さな一歩を設計する,未着手,8〜10分,最小の行動が変化を生む理由／スモールステップの設計（今週1つだけ決める）／「できなかった」ときの対処法,コース3スライド,作戦会議シート（継続）,
9-①,第9回,未来の私へ（まとめ）,講座全体の振り返り（3本柱を振り返る）,未着手,8〜10分,CBT・スキーマ療法・解決志向の3本柱を整理／半年間できたこと・試みたことを認める儀式／「完璧にできなかった」ことへの肯定,全コーススライド,未来の自分への手紙①（下書き）,
9-②,第9回,未来の私へ（まとめ）,これからのセルフケア・健診・かかりつけ医を「未来の味方」に,未着手,8〜10分,続けられるセルフケアを3つ選ぶ／定期健診・婦人科・かかりつけ医を「未来の味方」に／助けを求める力もセルフケア,全コーススライド・保健師現場知識,未来の自分への手紙②（仕上げ）,
9-③,第9回,未来の私へ（まとめ）,自分への手紙・次の一歩,未着手,8〜10分,受講開始前の自分へのメッセージ（モモさんも語る）／手紙を読み返すタイミング／次の一歩の提案／修了証の案内,—,未来の自分への手紙（完成）・修了証,
